tweet_id,created_at,text,author_id
1509665439076569099,2022-03-31 22:54:23+00:00,@JovaeNicole @FashionNova ThickNBeautiful Queen,772319131
1509658950609907717,2022-03-31 22:28:36+00:00,@celeste_brightt @FashionNova I love seeing your Gorgeous photos 😘😘😘 💋💋,1479191527691796481
1509658706488737793,2022-03-31 22:27:38+00:00,@celeste_brightt @FashionNova You set off white like crazy. Wow!!,1332730515904995328
1509658000956481536,2022-03-31 22:24:50+00:00,@celeste_brightt @FashionNova Little bit of paradise? Looks a LOT of paradise there to me! 😍,957283646880219136
1509654893736660994,2022-03-31 22:12:29+00:00,@celeste_brightt @FashionNova Wow absolutely gorgeous 🤍🤍🤍🤍🤩🤩🤩🤩,3066288553
1509647596394061834,2022-03-31 21:43:29+00:00,"📷 European Girls Just Hit Different. @emjeni in her @fashionnova . . . (at Helsinki, Finland) https://t.co/a5e0ovqNxD https://t.co/FhxiC5Qao7",2240231988
1509647586537447431,2022-03-31 21:43:27+00:00,"European Girls Just Hit Different. @emjeni in her @fashionnova 
.
.
. @ Helsinki, Finland https://t.co/IZDe8Hyg2F",2240231988
1509645243859222539,2022-03-31 21:34:08+00:00,@celeste_brightt @FashionNova And beauty,706468395764445185
1509644959212789761,2022-03-31 21:33:00+00:00,"Dear @fashionnova ya’ll some crooks. I would just like to have my funds back and not the store credit either, ion want nothing else from ya’ll",221795584
1509644042304466944,2022-03-31 21:29:22+00:00,@pinkmariekelley @FashionNova Open the zippers 🤣🤣🤣🔥🔥🔥,1456067746077286402
1509643823722516480,2022-03-31 21:28:30+00:00,@baddiewinkle @FashionNova LOVELY!!!!!!!!!!!!!!!!!!!!,1486821062692196363
1509643678389784576,2022-03-31 21:27:55+00:00,@baddiewinkle @FashionNova Ohhhhh My My My!!!!!!!,1486821062692196363
1509643368686661643,2022-03-31 21:26:41+00:00,"@FashionNova I payed for a RUSH order so if my shit ain’t here tomorrow morning, count your fucking days raggedy hoe",1301226655827070977
1509640457256685572,2022-03-31 21:15:07+00:00,@celeste_brightt @FashionNova Holy Fuuuuuccckk!!!,1430184491939684360
1509640237835866112,2022-03-31 21:14:15+00:00,@Nyjia_ @FashionNova @FedEx And they don’t even have a damn number 😒,1340505258150260737
1509639388409614351,2022-03-31 21:10:52+00:00,Lets Talk About It ✨😍 @FashionNova https://t.co/6OpYPRKjqw,1361405730524438528
1509639285154070528,2022-03-31 21:10:27+00:00,"@FashionNova , youre too damn rich to still charge for shipping !",1382807568376946689
1509639240862339072,2022-03-31 21:10:17+00:00,@celeste_brightt @FashionNova That gold chain is balln bby 🔥,356309408
1509635848018538500,2022-03-31 20:56:48+00:00,@FashionNova why haven’t I received my package yet. It’s been in Austin since March 24th 🥴🥲,1356452266589446145
1509633461463695367,2022-03-31 20:47:19+00:00,@FashionNova playing with me I want my package 😭😭😭,488914879
1509631945247965186,2022-03-31 20:41:18+00:00,@FashionNova  can someone please help I placed an order and put the wrong email in this is my first order with you guys it’s late and I have no confrontations to help guide me … pleaseeeee,1464411293537148934
1509630883090911243,2022-03-31 20:37:04+00:00,@majorrrr_keeee @FashionNova @FedEx They gone play in yo fucking face. Been tussling with these mfs all week,4365400583
